Data,Open,High,Low,Close,Volume,Market Cap
22/09/2017,"0,017747","0,018385","0,010229","0,015653",213,95.510
21/09/2017,"0,021802","0,021906","0,015331","0,017767",6.249,117.335
20/09/2017,"0,029128","0,029970","0,016156","0,021910",4.106,156.758
19/09/2017,"0,009692","0,030127","0,006980","0,029167",2.958,52.158
18/09/2017,"0,010663","0,013873","0,009599","0,009668",158,57.384
17/09/2017,"0,020163","0,022154","0,008882","0,010684",183,108.512
16/09/2017,"0,018223","0,020519","0,009836","0,020175",487,98.072
15/09/2017,"0,005577","0,018740","0,005108","0,018055",394,30.016
14/09/2017,"0,013056","0,013229","0,005207","0,005538",114,70.263
13/09/2017,"0,006982","0,014332","0,006490","0,013055",68,37.573
12/09/2017,"0,009270","0,011242","0,006938","0,006979",51,49.891
11/09/2017,"0,010057","0,013230","0,008923","0,009273",172,54.122
10/09/2017,"0,014941","0,019823","0,010026","0,010026",101,80.407
09/09/2017,"0,014160","0,015000","0,009670","0,014925",249,76.206
08/09/2017,"0,015780","0,024693","0,006901","0,014141",819,84.926
07/09/2017,"0,039281","0,039281","0,015560","0,015785",210,211.398
06/09/2017,"0,017963","0,042397","0,013411","0,039264",4.107,96.670
05/09/2017,"0,019387","0,019948","0,010884","0,018099",974,104.334
04/09/2017,"0,024321","0,024910","0,014462","0,019456",332,130.887
03/09/2017,"0,024512","0,027818","0,020175","0,024305",440,131.917
02/09/2017,"0,026024","0,026356","0,020513","0,024454",401,140.052
01/09/2017,"0,028842","0,043090","0,023048","0,026000",506,155.221
31/08/2017,"0,024042","0,045156","0,022087","0,028854",3.912,129.386
30/08/2017,"0,023507","0,025733","0,022008","0,024084",1.969,126.508
29/08/2017,"0,026157","0,034761","0,020083","0,023521",7.903,140.770
28/08/2017,"0,034348","0,034348","0,021521","0,026161",1.727,184.851
27/08/2017,"0,035195","0,040891","0,017347","0,034313",3.692,189.412
26/08/2017,"0,037006","0,039337","0,032355","0,035204",2.499,198.839
25/08/2017,"0,036749","0,043659","0,028283","0,036935",7.210,196.879
24/08/2017,"0,019244","0,037755","0,019224","0,036807",3.898,103.097
23/08/2017,"0,040896","0,050972","0,019024","0,019236",7.744,219.094
22/08/2017,"0,040400","0,044528","0,038388","0,040979",3.224,216.324
21/08/2017,"0,044772","0,054443","0,040237","0,040309",8.094,239.525
20/08/2017,"0,049171","0,057117","0,040258","0,040953",9.980,263.042
19/08/2017,"0,042340","0,050284","0,033322","0,049132",12.809,226.201
18/08/2017,"0,034732","0,060924","0,034694","0,042373",27.078,185.104
17/08/2017,"0,016501","0,050411","0,016256","0,034837",32.106,87.762
16/08/2017,"0,022094","0,024327","0,015996","0,016517",6.520,117.445
15/08/2017,"0,026724","0,028028","0,020052","0,022070",6.735,141.121
14/08/2017,"0,060096","0,060096","0,019206","0,026654",21.020,315.085
13/08/2017,"0,073797","0,089192","0,044201","0,060055",44.499,383.118
12/08/2017,"0,017153","0,269787","0,015885","0,058122",182.523,87.883
11/08/2017,"0,000343","0,017176","0,000343","0,017166",37.972,1.742
